Title,Price,Rating,Link,Image
"Lenovo ThinkBook 16 AMD Ryzen 7 7735HS (16GB RAM/512GB SSD/Windows 11 Home/Backlit Keyboard/Fingerprint) 16"" WUXGA IPS 300 Nits Thin & Light Laptop/1Y Warranty/Aluminium Top/1.7kg, 21MWA0AUIN","₹47,990",3.4 out of 5 stars,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyOTIyMDY5OTU2NDg5MzA5OjE3NjA1MzE1Mjk6c3BfbXRmOjMwMDc3MDI0OTUyMzQzMjo6MDo6&url=%2FLenovo-ThinkBook-Fingerprint-Aluminium-21MWA0AUIN%2Fdp%2FB0FD8TSZQC%2Fref%3Dsr_1_11_sspa%3Fdib%3DeyJ2IjoiMSJ9.ZfwIiYyoyPimdA6_HlL5Ovvi6eZxkRjmuv41rf_c6G8M_hKuH-W76dEH3Mm-Iz4Q5oCED7Cpj02wmfy2-ts81pt3PpP_h6pYzSyXgQCXs7yWrMFNunXIEWfqbNtMQP9tGu6kobevfrR0TfO_nOM2jQtPH-revomKUh2FpFJJqFaeM0kzhl7UBihx_6RQKirC0rovGUzkg-FOrmN2e9bZzOWY9ylB3KcEoRoGt1_7I4o.4J_a3xzenDIp9wqWkQLtHR6x70VcxeQdTj2uUyQNkU8%26dib_tag%3Dse%26keywords%3DLenovo%2BLaptop%26qid%3D1760531529%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=Q0be5LPXrv&sp_cr=ZAZ,https://m.media-amazon.com/images/I/51XpiWaeMQL._AC_UY218_.jpg
"Lenovo IdeaPad Slim 5, AMD Ryzen AI 7 350, 24GB RAM, 1TB SSD, WUXGA OLED 14""(35.5cm), Win11, Office Home'24, Grey, 1.4Kg, 83HX001NIN, Copilot+ PC, Backlit Keyboard, 1Yr ADP Free AI Powered Laptop","₹79,990",3.8 out of 5 stars,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyOTIyMDY5OTU2NDg5MzA5OjE3NjA1MzE1Mjk6c3BfbXRmOjMwMDcyMTA1Nzc0ODUzMjo6MDo6&url=%2FLenovo-IdeaPad-Copilot-Keyboard-83HX001NIN%2Fdp%2FB0F4XHB911%2Fref%3Dsr_1_12_sspa%3Fdib%3DeyJ2IjoiMSJ9.ZfwIiYyoyPimdA6_HlL5Ovvi6eZxkRjmuv41rf_c6G8M_hKuH-W76dEH3Mm-Iz4Q5oCED7Cpj02wmfy2-ts81pt3PpP_h6pYzSyXgQCXs7yWrMFNunXIEWfqbNtMQP9tGu6kobevfrR0TfO_nOM2jQtPH-revomKUh2FpFJJqFaeM0kzhl7UBihx_6RQKirC0rovGUzkg-FOrmN2e9bZzOWY9ylB3KcEoRoGt1_7I4o.4J_a3xzenDIp9wqWkQLtHR6x70VcxeQdTj2uUyQNkU8%26dib_tag%3Dse%26keywords%3DLenovo%2BLaptop%26qid%3D1760531529%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=ooN66U3pda&sp_cr=ZAZ,https://m.media-amazon.com/images/I/71oQ0rki+-L._AC_UY218_.jpg
"Lenovo {SmartChoice)Chromebook Intel Celeron N4500 (4GB RAM/64GB eMMC 5.1/11.6 Inch (29.46cm)/HD Display/2Wx2 Stereo Speakers/HD Camera/Chrome OS/Blue/1.21Kg), 82UY0014HA","₹10,990",3.7 out of 5 stars,https://www.amazon.in/Lenovo-SmartChoice-Chromebook-Speakers-82UY0014HA/dp/B0F2TMZJ24/ref=sr_1_13?dib=eyJ2IjoiMSJ9.ZfwIiYyoyPimdA6_HlL5Ovvi6eZxkRjmuv41rf_c6G8M_hKuH-W76dEH3Mm-Iz4Q5oCED7Cpj02wmfy2-ts81pt3PpP_h6pYzSyXgQCXs7yWrMFNunXIEWfqbNtMQP9tGu6kobevfrR0TfO_nOM2jQtPH-revomKUh2FpFJJqFaeM0kzhl7UBihx_6RQKirC0rovGUzkg-FOrmN2e9bZzOWY9ylB3KcEoRoGt1_7I4o.4J_a3xzenDIp9wqWkQLtHR6x70VcxeQdTj2uUyQNkU8&dib_tag=se&keywords=Lenovo+Laptop&qid=1760531529&sr=8-13,https://m.media-amazon.com/images/I/61QY1NrWQBL._AC_UY218_.jpg
"Lenovo V15 AMD Ryzen 7 7730U 15.6"" (39.62cm) FHD 250 Nits Antiglare Thin and Light Laptop (16GB/512GB SSD/Windows 11/Iron Grey/1.65 Kg) Grey","₹42,490",4.1 out of 5 stars,https://www.amazon.in/Lenovo-Ryzen-39-62cm-Antiglare-Laptop/dp/B0D39BVJ7Y/ref=sr_1_14?dib=eyJ2IjoiMSJ9.ZfwIiYyoyPimdA6_HlL5Ovvi6eZxkRjmuv41rf_c6G8M_hKuH-W76dEH3Mm-Iz4Q5oCED7Cpj02wmfy2-ts81pt3PpP_h6pYzSyXgQCXs7yWrMFNunXIEWfqbNtMQP9tGu6kobevfrR0TfO_nOM2jQtPH-revomKUh2FpFJJqFaeM0kzhl7UBihx_6RQKirC0rovGUzkg-FOrmN2e9bZzOWY9ylB3KcEoRoGt1_7I4o.4J_a3xzenDIp9wqWkQLtHR6x70VcxeQdTj2uUyQNkU8&dib_tag=se&keywords=Lenovo+Laptop&qid=1760531529&sr=8-14,https://m.media-amazon.com/images/I/41U0mEisocL._AC_UY218_.jpg
"Lenovo V15 Intel Celeron N4500 15.6"" (39.62 cm) FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/256GB SSD/Windows 11 Home/Black/1Y Onsite/1.7 kg), 82QYA00MIN","₹23,999",3.8 out of 5 stars,https://www.amazon.in/Lenovo-Celeron-1920x1080-Antiglare-82QYA00MIN/dp/B0C28FKJXG/ref=sr_1_15?dib=eyJ2IjoiMSJ9.ZfwIiYyoyPimdA6_HlL5Ovvi6eZxkRjmuv41rf_c6G8M_hKuH-W76dEH3Mm-Iz4Q5oCED7Cpj02wmfy2-ts81pt3PpP_h6pYzSyXgQCXs7yWrMFNunXIEWfqbNtMQP9tGu6kobevfrR0TfO_nOM2jQtPH-revomKUh2FpFJJqFaeM0kzhl7UBihx_6RQKirC0rovGUzkg-FOrmN2e9bZzOWY9ylB3KcEoRoGt1_7I4o.4J_a3xzenDIp9wqWkQLtHR6x70VcxeQdTj2uUyQNkU8&dib_tag=se&keywords=Lenovo+Laptop&qid=1760531529&sr=8-15,https://m.media-amazon.com/images/I/516btukUorL._AC_UY218_.jpg
"Lenovo IdeaPad Slim 3 12th Gen Intel Core i5-12450H 15.6 inch (39.6cm) FHD Laptop (16GB RAM/512GB SSD/Windows 11/Office Home 2024/1Yr ADP Free/Grey/1.62Kg), 83ER00KPIN/83ER00KRIN","₹45,600",3.9 out of 5 stars,https://www.amazon.in/Lenovo-IdeaPad-i5-12450H-Windows-83ER00KPIN/dp/B0DR96PF63/ref=sr_1_16?dib=eyJ2IjoiMSJ9.ZfwIiYyoyPimdA6_HlL5Ovvi6eZxkRjmuv41rf_c6G8M_hKuH-W76dEH3Mm-Iz4Q5oCED7Cpj02wmfy2-ts81pt3PpP_h6pYzSyXgQCXs7yWrMFNunXIEWfqbNtMQP9tGu6kobevfrR0TfO_nOM2jQtPH-revomKUh2FpFJJqFaeM0kzhl7UBihx_6RQKirC0rovGUzkg-FOrmN2e9bZzOWY9ylB3KcEoRoGt1_7I4o.4J_a3xzenDIp9wqWkQLtHR6x70VcxeQdTj2uUyQNkU8&dib_tag=se&keywords=Lenovo+Laptop&qid=1760531529&sr=8-16,https://m.media-amazon.com/images/I/61TRKPzWmBL._AC_UY218_.jpg
"Lenovo IdeaPad 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Office Home 2024/1 Year ADP Free/Grey/1.6Kg), 82R4011MIN","₹32,985",4.0 out of 5 stars,https://www.amazon.in/Lenovo-MSOffice-82R400BRIN-Integrated-Graphics/dp/B09MM58Y7Q/ref=sr_1_17?dib=eyJ2IjoiMSJ9.ZfwIiYyoyPimdA6_HlL5Ovvi6eZxkRjmuv41rf_c6G8M_hKuH-W76dEH3Mm-Iz4Q5oCED7Cpj02wmfy2-ts81pt3PpP_h6pYzSyXgQCXs7yWrMFNunXIEWfqbNtMQP9tGu6kobevfrR0TfO_nOM2jQtPH-revomKUh2FpFJJqFaeM0kzhl7UBihx_6RQKirC0rovGUzkg-FOrmN2e9bZzOWY9ylB3KcEoRoGt1_7I4o.4J_a3xzenDIp9wqWkQLtHR6x70VcxeQdTj2uUyQNkU8&dib_tag=se&keywords=Lenovo+Laptop&qid=1760531529&sr=8-17,https://m.media-amazon.com/images/I/71xHNSCyRsL._AC_UY218_.jpg
"Lenovo IdeaPad Slim 3 13th Gen Intel Core i5-13420H 15.3 inch (38.8cm) WUXGA IPS Laptop (24GB RAM/1TB SSD/Windows 11/Office Home 2024/Backlit Keyboard/1Yr ADP Free/Grey/1.6Kg), 83K100PLIN","₹57,990",4.2 out of 5 stars,https://www.amazon.in/Lenovo-IdeaPad-i5-13420H-Keyboard-83K100PLIN/dp/B0FCY7BTCX/ref=sr_1_18?dib=eyJ2IjoiMSJ9.ZfwIiYyoyPimdA6_HlL5Ovvi6eZxkRjmuv41rf_c6G8M_hKuH-W76dEH3Mm-Iz4Q5oCED7Cpj02wmfy2-ts81pt3PpP_h6pYzSyXgQCXs7yWrMFNunXIEWfqbNtMQP9tGu6kobevfrR0TfO_nOM2jQtPH-revomKUh2FpFJJqFaeM0kzhl7UBihx_6RQKirC0rovGUzkg-FOrmN2e9bZzOWY9ylB3KcEoRoGt1_7I4o.4J_a3xzenDIp9wqWkQLtHR6x70VcxeQdTj2uUyQNkU8&dib_tag=se&keywords=Lenovo+Laptop&qid=1760531529&sr=8-18,https://m.media-amazon.com/images/I/71D9HSayVSL._AC_UY218_.jpg
"Lenovo 14 (2025), Intel Core i3 13th Gen 1315U - (24 GB/512 GB SSD/Intel UHD Graphics/Windows 11 Pro) Thin and Light Business Laptop/14.0"" FHD Display/Iron Grey/1.4 kg/MS Office 2021","₹36,410",No rating,https://www.amazon.in/dp/B0FRYH9TL9/ref=sr_1_19?dib=eyJ2IjoiMSJ9.ZfwIiYyoyPimdA6_HlL5Ovvi6eZxkRjmuv41rf_c6G8M_hKuH-W76dEH3Mm-Iz4Q5oCED7Cpj02wmfy2-ts81pt3PpP_h6pYzSyXgQCXs7yWrMFNunXIEWfqbNtMQP9tGu6kobevfrR0TfO_nOM2jQtPH-revomKUh2FpFJJqFaeM0kzhl7UBihx_6RQKirC0rovGUzkg-FOrmN2e9bZzOWY9ylB3KcEoRoGt1_7I4o.4J_a3xzenDIp9wqWkQLtHR6x70VcxeQdTj2uUyQNkU8&dib_tag=se&keywords=Lenovo+Laptop&qid=1760531529&sr=8-19,https://m.media-amazon.com/images/I/61OzEk0QHBL._AC_UY218_.jpg
"Lenovo ThinkBook 16 AMD Ryzen 7 7735HS (16GB RAM/512GB SSD/Windows 11 Home/Backlit Keyboard/Fingerprint) 16"" WUXGA IPS 300 Nits Thin & Light Laptop/1Y Warranty/Aluminium Top/1.7kg, 21MWA0AUIN","₹47,990",3.4 out of 5 stars,https://www.amazon.in/Lenovo-ThinkBook-Fingerprint-Aluminium-21MWA0AUIN/dp/B0FD8TSZQC/ref=sr_1_20?dib=eyJ2IjoiMSJ9.ZfwIiYyoyPimdA6_HlL5Ovvi6eZxkRjmuv41rf_c6G8M_hKuH-W76dEH3Mm-Iz4Q5oCED7Cpj02wmfy2-ts81pt3PpP_h6pYzSyXgQCXs7yWrMFNunXIEWfqbNtMQP9tGu6kobevfrR0TfO_nOM2jQtPH-revomKUh2FpFJJqFaeM0kzhl7UBihx_6RQKirC0rovGUzkg-FOrmN2e9bZzOWY9ylB3KcEoRoGt1_7I4o.4J_a3xzenDIp9wqWkQLtHR6x70VcxeQdTj2uUyQNkU8&dib_tag=se&keywords=Lenovo+Laptop&qid=1760531529&sr=8-20,https://m.media-amazon.com/images/I/51XpiWaeMQL._AC_UY218_.jpg
